,Player,FantPos,PlayerID
25,Justin Tucker,K,TuckJu00
36,Matt Prater,K,PratMa20
51,Graham Gano,K,GanoGr44
56,Nick Folk,K,FolkNi20
73,Greg Zuerlein,K,ZuerGr00
88,Brandon McManus,K,McMaBr01
96,Chris Boswell,K,BoswCh00
98,Jason Myers,K,MyerJa00
112,Harrison Butker,K,ButkHa00
113,Dustin Hopkins,K,HopkDu00
115,Cairo Santos,K,SantCa01
120,Wil Lutz,K,LutzWi00
126,Jake Elliott,K,ElliJa03
130,Daniel Carlson,K,CarlDa00
132,Ka'imi Fairbairn,K,FairKa01
138,Jason Sanders,K,SandJa00
143,Younghoe Koo,K,KooxYo00
148,Matt Gay,K,GayxMa00
171,Joey Slye,K,SlyeJo00
179,Tyler Bass,K,BassTy00
183,Eddy Pineiro,K,PineEd00
189,Brett Maher,K,MaheBr01
197,Greg Joseph,K,JoseGr00
199,Chase McLaughlin,K,McLaCh00
200,Evan McPherson,K,McPhEv00
228,Austin Seibert,K,SeibAu00
238,Cameron Dicker,K,DickCa00
401,Brandon Aubrey,K,AubrBr00
403,Anders Carlson,K,CarlAn00
407,Blake Grupe,K,GrupBl00
408,Lucas Havrisik,K,HavrLu00
411,Jake Moody,K,MoodJa00
412,Chad Ryland,K,RylaCh00
